00:02:20.954 [Safezone] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0= pos=<5616.877441, 29.023972, 5418.303223>) Entered the safezone
00:05:21.603 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:22.178 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:22.259 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:22.479 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:22.557 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:22.858 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:22.926 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:23.429 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:23.536 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:23.731 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:23.823 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:23.959 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:24.104 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:24.575 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:24.689 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:25.307 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:25.389 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:25.871 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:25.959 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:26.525 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:26.668 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:27.158 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:27.273 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:27.805 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:27.886 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:28.459 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:28.542 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:35.777 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_762x39 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:35.854 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_762x39 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 0.
00:05:46.205 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:46.342 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:46.852 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:46.989 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:47.555 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:47.638 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:48.140 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:48.257 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:48.527 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:48.640 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:48.807 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:48.891 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:49.118 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:49.207 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:49.325 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:49.428 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:49.549 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:49.681 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:49.791 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:49.927 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:50.405 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:50.496 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:50.736 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:50.853 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:50.943 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:51.104 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:51.190 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:51.332 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:51.360 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:51.440 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:51.579 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:51.713 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:51.773 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:51.857 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:51.998 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:52.125 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:52.208 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:52.300 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:52.416 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:52.528 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:52.636 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:52.776 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:52.804 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:52.917 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:53.063 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:53.160 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:53.224 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:53.336 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:53.457 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:53.564 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 2.
00:05:53.673 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_expansion_46x30 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
